"Operon_ID","Gene","Product"
139,"-","hypothetical protein"
139,"-","ferredoxin"
139,"-","hypothetical protein"
140,"-","hypothetical protein"
141,"hmcA","HmcA"
141,"cobN","hypothetical protein"
142,"-","hypothetical protein"
142,"cbiC","precorrin isomerase"
143,"cbiJ","cobalt-precorrin-6Y C(5)-methyltransferase"
143,"-","hypothetical protein"
144,"-","hypothetical protein"
144,"-","hypothetical protein"
144,"cbiA","cobyrinic acid a,c-diamide synthase"
144,"cobI","cobalamin adenosyltransferase"
145,"cbiP","cobyric acid synthase"
146,"-","hypothetical protein"
146,"-","hypothetical protein"
147,"-","hypothetical protein"
147,"-","hypothetical protein"
147,"-","hypothetical protein"
147,"hisC2","hypothetical protein"
148,"-","hypothetical protein"
149,"-","hypothetical protein"
150,"-","hypothetical protein"
150,"-","hypothetical protein"
151,"-","hypothetical protein"
152,"-","hypothetical protein"
153,"-","hypothetical protein"
154,"-","hypothetical protein"
154,"cysT2","sulfate transport system permease"
155,"-","hypothetical protein"
156,"tfx","transcriptional regulator"
156,"gcvP2","glycine dehydrogenase subunit 2"
157,"gcvP1","glycine dehydrogenase subunit 1"
158,"-","hypothetical protein"
158,"gdcH","glycine cleavage system protein H"
159,"gcvT","glycine cleavage system aminomethyltransferase T"
159,"cheC2","hypothetical protein"
160,"-","hypothetical protein"
161,"-","hypothetical protein"
162,"-","hypothetical protein"
163,"-","hypothetical protein"
164,"-","hypothetical protein"
165,"-","hypothetical protein"
166,"-","hypothetical protein"
167,"mvaB","3-hydroxy-3-methylglutaryl-coenzyme A synthase"
168,"-","hypothetical protein"
169,"-","hypothetical protein"
170,"-","hypothetical protein"
171,"-","hypothetical protein"
172,"zntA","hypothetical protein"
173,"-","hypothetical protein"
174,"rfcB","replication factor C large subunit"
175,"ccp","heme A synthase"
176,"mdh","malic enzyme"
177,"-","hypothetical protein"
178,"-","hypothetical protein"
179,"aad","aryl-alcohol dehydrogenase"
180,"-","hypothetical protein"
181,"cbiO2","hypothetical protein"
181,"cbiQ","hypothetical protein"
181,"cbiN","cobalt transport protein CbiN"
182,"cbiM","cobalt transport protein CbiM"
183,"hcpA","halocyanin-like protein"
184,"-","hypothetical protein"
185,"-","hypothetical protein"
186,"-","hypothetical protein"
187,"-","hypothetical protein"
188,"nrdB2","ribonucleoside reductase large chain"
189,"-","hypothetical protein"
189,"trpG1","anthranilate synthase subunit beta"
189,"trpE1","anthranilate synthase component I"
189,"trpF","hypothetical protein"
189,"trpD","anthranilate phosphoribosyltransferase"
190,"-","hypothetical protein"
191,"-","hypothetical protein"
192,"-","hypothetical protein"
193,"-","hypothetical protein"
194,"cdc48e","cell division cycle protein"
194,"-","hypothetical protein"
194,"-","hypothetical protein"
195,"-","hypothetical protein"
196,"-","hypothetical protein"
197,"-","hypothetical protein"
197,"htr1","Htr1"
198,"sop1","sensory rhodopsin I"
199,"-","hypothetical protein"
200,"-","hypothetical protein"
201,"prrC","regulatory protein"
202,"radB","DNA repair and recombination protein RadB"
203,"-","hypothetical protein"
204,"cdc48c","cell division cycle protein"
205,"rps8e","30S ribosomal protein S8"
205,"-","hypothetical protein"
206,"-","hypothetical protein"
207,"pyrF","hypothetical protein"
208,"-","hypothetical protein"
208,"-","hypothetical protein"
209,"-","HAD superfamily hydrolase"
210,"gbp2","GTP-binding protein"
211,"-","hypothetical protein"
212,"-","hypothetical protein"
213,"-","hypothetical protein"
214,"crtB2","phytoene synthase"
214,"-","hypothetical protein"
214,"ubiA","prenyltransferase"
214,"crtI1","phytoene dehydrogenase"
215,"mch","N5,N10-methenyltetrahydromethanopterin cyclohydrolase"
216,"-","hypothetical protein"
216,"-","hypothetical protein"
216,"rpl3p","50S ribosomal protein L3P"
216,"rpl4lp","50S ribosomal protein L4"
216,"rplW","50S ribosomal protein L23"
216,"rpl2p","50S ribosomal protein L2"
217,"rps19p","30S ribosomal protein S19"
218,"merA","mercury(II) reductase"
218,"rpl22p","50S ribosomal protein L22"
218,"rps3p","30S ribosomal protein S3"
218,"rpmC","50S ribosomal protein L29"
218,"-","ribonuclease P protein component 1"
218,"rps17p","30S ribosomal protein S17"
218,"rpl14p","50S ribosomal protein L14"
218,"rpl24p","50S ribosomal protein L24"
218,"rps4e","30S ribosomal protein S4"
218,"rpl5p","50S ribosomal protein L5"
218,"rps14P","30S ribosomal protein S14"
218,"rps8p","30S ribosomal protein S8"
218,"rpl6p","50S ribosomal protein L6"
218,"rpl32e","50S ribosomal protein L32"
218,"rpl19e","50S ribosomal protein L19"
218,"rpl18p","50S ribosomal protein L18"
218,"rps5p","30S ribosomal protein S5"
218,"rpl30p","50S ribosomal protein L30"
218,"rpl15p","50S ribosomal protein L15"
219,"secY","preprotein translocase subunit SecY"
220,"-","hypothetical protein"
221,"trkH2","TRK potassium uptake system protein"
222,"-","hypothetical protein"
223,"adk","adenylate kinase"
223,"htlB","HtlB"
224,"-","hypothetical protein"
224,"cmk","cytidylate kinase"
225,"sus","H/ACA RNA-protein complex component Cbf5p"
226,"-","hypothetical protein"
226,"htr17","Htr17"
227,"-","hypothetical protein"
228,"-","hypothetical protein"
228,"-","hypothetical protein"
229,"oxlT","oxalate/formate antiporter"
229,"htlC","HtlC"
230,"-","hypothetical protein"
231,"-","hypothetical protein"
232,"-","hypothetical protein"
233,"-","hypothetical protein"
234,"-","hypothetical protein"
235,"gbp1","translation-associated GTPase"
236,"-","hypothetical protein"
237,"-","hypothetical protein"
237,"phr1","photolyase/cryptochrome"
238,"crtI2","phytoene dehydrogenase"
239,"eif1a2","translation initiation factor IF-1A"
239,"-","hypothetical protein"
240,"htr7","Htr7"
241,"kdgK","2-keto-3-deoxygluconate kinase"
242,"-","hypothetical protein"
242,"htr5","Htr5"
243,"proX","ABC transporter"
243,"sop2","sensory rhodopsin II"
243,"htr2","Htr2"
244,"mutL","DNA mismatch repair protein"
244,"-","hypothetical protein"
244,"speB","hypothetical protein"
245,"eif5a","translation initiation factor IF-5A"
245,"-","amidase"
246,"-","hypothetical protein"
247,"-","hypothetical protein"
248,"pgp","3-phosphoglycerate kinase"
249,"phhB","pterin-4a-carbinolamine dehydratase"
249,"hemA","glutamyl-tRNA reductase"
249,"-","hypothetical protein"
250,"nirH","heme biosynthesis protein"
251,"-","hypothetical protein"
252,"-","hypothetical protein"
253,"-","hypothetical protein"
254,"-","hypothetical protein"
255,"-","DNA primase"
255,"-","hypothetical protein"
256,"panF","hypothetical protein"
257,"-","hypothetical protein"
257,"-","hypothetical protein"
257,"-","hypothetical protein"
258,"-","hypothetical protein"
259,"-","hypothetical protein"
259,"-","pyridoxal biosynthesis lyase PdxS"
260,"boa1","bacterio-opsin activator-like protein"
261,"-","hypothetical protein"
262,"thrB","homoserine kinase"
263,"-","hypothetical protein"
264,"-","hypothetical protein"
265,"-","hypothetical protein"
266,"-","hypothetical protein"
266,"hsp1","Hsp1"
267,"-","hypothetical protein"
268,"noxA","NADH oxidase"
269,"-","hypothetical protein"
270,"-","hypothetical protein"
271,"-","hypothetical protein"
272,"eye","succinoglycan biosynthesis"
273,"carB","carbamoyl phosphate synthase large subunit"
274,"carA","carbamoyl phosphate synthase small subunit"
274,"trh3","transcription regulator"
274,"idi","Idi"
275,"-","hypothetical protein"
275,"-","hypothetical protein"
275,"adh4","alcohol dehydrogenase"
276,"-","hypothetical protein"
276,"moaB","hypothetical protein"
277,"-","hypothetical protein"
278,"-","hypothetical protein"
279,"-","hypothetical protein"
279,"guaAb","GMP synthase subunit B"
280,"pyrG","CTP synthase"
280,"-","hypothetical protein"
281,"-","hypothetical protein"
282,"-","hypothetical protein"
283,"hyrA","HyrA"
284,"thrS","threonyl-tRNA synthetase"
285,"gdhB","glutamate dehydrogenase"
286,"cspD2","cold shock protein"
286,"ykfB1","chloromuconate cycloisomerase"
287,"-","hypothetical protein"
288,"-","hypothetical protein"
289,"-","hypothetical protein"
289,"-","hypothetical protein"
289,"ansA","glutamyl-tRNA(Gln) amidotransferase subunit D"
290,"-","hypothetical protein"
290,"-","hypothetical protein"
291,"-","hypothetical protein"
292,"pchA","potassium channel-like protein"
293,"-","hypothetical protein"
294,"alkK","AlkK"
294,"udp1","uridine phosphorylase"
294,"suk","sugar kinase"
294,"-","hypothetical protein"
294,"eif2ba","translation initiation factor IF-2B subunit delta"
295,"htr3","Htr3"
296,"-","hypothetical protein"
297,"deoC","hypothetical protein"
298,"-","hypothetical protein"
298,"cef","cation efflux system protein"
299,"hit2","Hit2"
300,"-","hypothetical protein"
300,"map","methionine aminopeptidase"
300,"potC","spermidine/putrescine ABC transporter permease"
300,"potB","spermidine/putrescine ABC transporter permease"
300,"-","hypothetical protein"
301,"-","hypothetical protein"
302,"potA2","spermidine/putrescine ABC transporter"
303,"-","hypothetical protein"
304,"icd","hypothetical protein"
305,"mutS1","DNA mismatch repair protein MutS"
306,"-","hypothetical protein"
307,"mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase"
307,"-","hypothetical protein"
308,"thb","thiamin-binding periplasmic protein-like protein"
309,"-","hypothetical protein"
309,"nadA","quinolinate synthetase"
309,"nadB","L-aspartate oxidase"
310,"nadC","hypothetical protein"
311,"-","hypothetical protein"
312,"ebrB","membrane transporter"
313,"gpm","phosphoglyceromutase"
314,"-","hypothetical protein"
315,"-","hypothetical protein"
315,"-","hypothetical protein"
315,"trp2","ABC transport protein"
316,"-","hypothetical protein"
317,"-","hypothetical protein"
317,"-","hypothetical protein"
318,"-","hypothetical protein"
319,"kaiC","KaiC"
319,"-","hypothetical protein"
320,"-","GTP cyclohydrolase"
321,"-","hypothetical protein"
322,"-","transcription regulator"
323,"-","hypothetical protein"
323,"-","hypothetical protein"
324,"hef","hydrogenase expression/formation"
325,"fxsA","FxsA"
326,"-","hypothetical protein"
327,"-","hypothetical protein"
328,"nirD","heme biosynthesis protein"
328,"trpD2","phosphoribosyl transferase"
328,"ppiA","peptidyl-prolyl isomerase"
329,"-","hypothetical protein"
330,"-","hypothetical protein"
331,"-","geranylgeranylglyceryl phosphate synthase-like protein"
331,"-","hypothetical protein"
332,"-","hypothetical protein"
333,"-","hypothetical protein"
333,"trh5","transcription regulator"
334,"trkA6","TRK potassium uptake system protein"
335,"-","hypothetical protein"
336,"pdhA1","pyruvate dehydrogenase alpha subunit"
337,"-","hypothetical protein"
338,"tmk","thymidylate kinase"
338,"nolA","NADH dehydrogenase/oxidoreductase-like protein"
339,"psmB","proteasome subunit alpha"
339,"ftsZ3","cell division protein"
339,"-","hypothetical protein"
340,"-","hypothetical protein"
341,"cofG","FO synthase subunit 1"
342,"-","FO synthase subunit 2"
343,"hemH","phosphoribosylaminoimidazole-succinocarboxamide synthase"
344,"-","hypothetical protein"
345,"-","hypothetical protein"
345,"-","hypothetical protein"
346,"-","hypothetical protein"
