"Operon_ID","Gene","Product"
123,"mrnC","ribonuclease for 23S RNA maturation"
123,"gerPE","spore germination protein"
123,"gerPD","spore germination protein"
123,"gerPC","spore germination protein"
123,"gerPB","spore germination protein"
124,"gerPA","spore germination protein"
125,"yisI","Spo0A-P phosphatase"
126,"yisJ","spore coat protein"
126,"yisK","catabolic enzyme"
127,"rlmB","23S rRNA methyltransferase"
128,"yisL","hypothetical protein"
129,"wprA","cell wall-associated protease"
130,"yisN","hypothetical protein"
131,"asnO","asparagine synthetase"
132,"yizA","hypothetical protein"
132,"yisP","squalene/phytoene synthase"
133,"yacP","ribonuclease with PIN and NYN domains"
134,"yisQ","Na+driven efflux transporter"
134,"yisR","AraC family transcriptional regulator"
135,"degA","LacI family transcriptional regulator"
136,"yisS","dehydrogenase"
137,"yisT","hypothetical protein"
138,"sigH","RNA polymerase factor sigma-70"
139,"yisU","aminoacid related metabolite efflux transporter"
140,"yisV","PLP-dependent transcriptional regulator"
141,"yisX","hypothetical protein"
142,"yisY","hydrolase"
142,"yisZ","adenylylsulfate kinase"
143,"sat","sulfate adenylyltransferase"
144,"yitB","phospho-adenylylsulfate sulfotransferase"
144,"yitC","2-phosphosulfolactate phosphatase"
144,"yitD","phosphosulfolactate synthase"
145,"rpmG","50S ribosomal protein L33"
146,"yitE","hypothetical protein"
147,"yitF","enolase"
148,"secE","preprotein translocase subunit SecE"
149,"yitG","efflux transporter"
149,"yitH","N-acetyltransferase"
150,"yitI","N-acetyltransferase"
151,"yitJ","bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase"
152,"nusG","transcription antitermination protein NusG"
153,"yitK","nucleotide-binding protein"
154,"yitL","RNA-binding protein"
154,"yitM","hypothetical protein"
154,"yitO","hypothetical protein"
155,"yitP","hypothetical protein"
155,"yizB","DNA/RNA binding protein"
155,"yitQ","hypothetical protein"
155,"yitR","hypothetical protein"
156,"rplK","50S ribosomal protein L11"
157,"nprB","extracellular neutral protease B"
158,"yitS","hypothetical protein"
159,"yitT","hypothetical protein"
160,"ipi","intracellular proteinase inhibitor BsuPI"
161,"yizC","hypothetical protein"
162,"yitU","phosphatase"
163,"rplA","50S ribosomal protein L1"
164,"yitV","hydrolase"
165,"yitW","hypothetical protein"
165,"yitY","FMN/FAD-binding oxidoreductase"
166,"yitZ","transporter"
166,"argC","N-acetyl-gamma-glutamyl-phosphate reductase"
166,"argJ","bifunctional ornithine acetyltransferase/N-acetylglutamate synthase"
166,"argB","acetylglutamate kinase"
167,"argD","acetylornithine aminotransferase"
167,"carA","carbamoyl phosphate synthase small subunit"
167,"carB","carbamoyl phosphate synthase large subunit"
168,"rplJ","50S ribosomal protein L10"
169,"argF","ornithine carbamoyltransferase"
