"Operon_ID","Gene","Product"
54,"HCP21_00009110","Protein kinase domain."
54,"HCP21_00009120","hypothetical protein"
55,"HCP21_00009160","hypothetical protein"
56,"HCP21_00009210","hypothetical protein"
56,"HCP21_00009390","Gtr1/RagA G protein conserved region."
56,"HCP21_00009480","hypothetical protein"
56,"HCP21_00009550","HI0933-like protein."
57,"HCP21_00009610","hypothetical protein"
58,"HCP21_00009670","hypothetical protein"
58,"HCP21_00009770","hypothetical protein"
58,"HCP21_00009820","hypothetical protein"
58,"HCP21_00009980","Enoyl-CoA hydratase/carnithine racemase"
58,"HCP21_00009990","Methionyl-tRNA synthetase"
58,"HCP21_00010040","Malic enzyme"
58,"HCP21_00010100","hypothetical protein"
59,"HCP21_00010510","hypothetical protein"
60,"HCP21_00010800","16S"
60,"HCP21_00010820","Response regulator containing a CheY-like receiver domain and a GGDEF domain"
60,"HCP21_00010900","Malic enzyme"
60,"HCP21_00010980","Protein kinase domain."
60,"HCP21_00011070","Protein kinase domain."
60,"HCP21_00011090","Protein phosphatase 2C."
61,"HCP21_00011130","Gamma-glutamyl phosphate reductase"
61,"HCP21_00011140","hypothetical protein"
61,"HCP21_00011150","hypothetical protein"
61,"HCP21_00011160","Vacuolar protein sorting-associated protein 26."
62,"HCP21_00011300","hypothetical protein"
63,"HCP21_00011320","hypothetical protein"
64,"HCP21_00011390","IQ calmodulin-binding motif."
64,"HCP21_00011460","hypothetical protein"
64,"HCP21_00011470","Single-strand binding protein family."
64,"HCP21_00011520","Predicted ATPase (AAA+ superfamily)"
64,"HCP21_00011560","WD domain, G-beta repeat."
64,"HCP21_00011570","hypothetical protein"
65,"HCP21_00011600","hypothetical protein"
66,"HCP21_00011670","hypothetical protein"
67,"HCP21_00011710","hypothetical protein"
68,"HCP21_00011720","hypothetical protein"
68,"HCP21_00011820","Eukaryotic aspartyl protease."
68,"HCP21_00011870","Uncharacterized protein involved in cytokinesis, contains TGc (transglutaminase/protease-like) domain"
68,"HCP21_00011920","hypothetical protein"
68,"HCP21_00012060","UDP-N-acetylmuramyl pentapeptide synthase"
68,"HCP21_00012090","Glycosyl hydrolases family 31."
69,"HCP21_00012160","Leishmanolysin."
70,"HCP21_00012380","hypothetical protein"
70,"HCP21_00012440","hypothetical protein"
70,"HCP21_00012490","Copine."
70,"HCP21_00012570","hypothetical protein"
70,"HCP21_00012720","Calponin homology (CH) domain."
70,"HCP21_00012760","NADH:flavin oxidoreductases, Old Yellow Enzyme family"
70,"HCP21_00012790","hypothetical protein"
71,"HCP21_00012800","hypothetical protein"
72,"HCP21_00012860","Sugar phosphate permease"
72,"HCP21_00012880","Peptidase family C54."
72,"HCP21_00012960","hypothetical protein"
72,"HCP21_00012970","hypothetical protein"
72,"HCP21_00013050","hypothetical protein"
72,"HCP21_00013190","hypothetical protein"
72,"HCP21_00013230","hypothetical protein"
72,"HCP21_00013250","hypothetical protein"
73,"HCP21_00013280","16S"
74,"HCP21_00013290","hypothetical protein"
74,"HCP21_00013540","hypothetical protein"
75,"HCP21_00013560","hypothetical protein"
76,"HCP21_00013660","hypothetical protein"
76,"HCP21_00013680","hypothetical protein"
76,"HCP21_00013700","Kinesin-like protein"
77,"HCP21_00013740","FERM central domain./MyTH4 domain."
78,"HCP21_00013770","hypothetical protein"
79,"HCP21_00013790","hypothetical protein"
80,"HCP21_00013840","GTPase-activating protein that regulates ARFs (ADP-ribosylation factors), involved in ARF-mediated vesicular transport"
80,"HCP21_00013920","hypothetical protein"
80,"HCP21_00014060","hypothetical protein"
81,"HCP21_00014070","MORN repeat."
81,"HCP21_00014240","hypothetical protein"
82,"HCP21_00014250","hypothetical protein"
82,"HCP21_00014290","hypothetical protein"
83,"HCP21_00014320","hypothetical protein"
84,"HCP21_00014340","hypothetical protein"
84,"HCP21_00014380","hypothetical protein"
84,"HCP21_00014400","hypothetical protein"
84,"HCP21_00014460","hypothetical protein"
84,"HCP21_00014490","hypothetical protein"
85,"HCP21_00014530","hypothetical protein"
86,"HCP21_00014580","hypothetical protein"
86,"HCP21_00014760","MORN repeat."
86,"HCP21_00014850","DNA primase (bacterial type)"
87,"HCP21_00015130","Helicase conserved C-terminal domain."
88,"HCP21_00015260","hypothetical protein"
88,"HCP21_00015600","Isopropylmalate/homocitrate/citramalate synthases"
88,"HCP21_00015700","hypothetical protein"
88,"HCP21_00015730","hypothetical protein"
89,"HCP21_00015770","hypothetical protein"
90,"HCP21_00015820","hypothetical protein"
90,"HCP21_00015840","Superfamily II DNA and RNA helicases"
90,"HCP21_00015860","hypothetical protein"
91,"HCP21_00015910","hypothetical protein"
92,"HCP21_00015920","hypothetical protein"
92,"HCP21_00015960","hypothetical protein"
92,"HCP21_00015990","hypothetical protein"
92,"HCP21_00016130","hypothetical protein"
92,"HCP21_00016270","Serine/threonine protein kinase"
92,"HCP21_00016430","Protein kinase domain."
92,"HCP21_00016520","ABC-type multidrug transport system, ATPase and permease components"
92,"HCP21_00016590","Mechanosensitive ion channel."
93,"HCP21_00016630","hypothetical protein"
93,"HCP21_00016670","hypothetical protein"
94,"HCP21_00016700","hypothetical protein"
94,"HCP21_00016720","Predicted protein-tyrosine phosphatase"
95,"HCP21_00016790","hypothetical protein"
96,"HCP21_00016850","hypothetical protein"
96,"HCP21_00016920","23S"
96,"HCP21_00017190","hypothetical protein"
97,"HCP21_00017310","Cyclic nucleotide-binding domain."
97,"HCP21_00017380","Sugar (and other) transporter."
98,"HCP21_00017430","SET domain."
98,"HCP21_00017440","hypothetical protein"
99,"HCP21_00017460","Cell cycle control protein"
100,"HCP21_00017470","hypothetical protein"
100,"HCP21_00017850","hypothetical protein"
101,"HCP21_00017890","hypothetical protein"
102,"HCP21_00017950","hypothetical protein"
103,"HCP21_00017990","hypothetical protein"
104,"HCP21_00018000","hypothetical protein"
104,"HCP21_00018040","hypothetical protein"
104,"HCP21_00018070","Serine/threonine protein kinase"
104,"HCP21_00018080","Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase"
104,"HCP21_00018140","RNA recognition motif."
104,"HCP21_00018160","16S"
104,"HCP21_00018270","Heterodisulfide reductase, subunit A and related polyferredoxins"
104,"HCP21_00018290","NLI interacting factor-like phosphatase."
105,"HCP21_00018360","hypothetical protein"
106,"HCP21_00018440","hypothetical protein"
106,"HCP21_00018490","Cyclin."
106,"HCP21_00018510","hypothetical protein"
106,"HCP21_00018760","GTPase SAR1 and related small G proteins"
107,"HCP21_00018920","hypothetical protein"
108,"HCP21_00019000","hypothetical protein"
109,"HCP21_00019080","hypothetical protein"
110,"HCP21_00019110","hypothetical protein"
110,"HCP21_00019150","hypothetical protein"
111,"HCP21_00019180","''chromo'' (CHRromatin Organisation MOdifier) domain."
112,"HCP21_00019200","hypothetical protein"
112,"HCP21_00019390","MORN repeat."
112,"HCP21_00019430","UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase"
112,"HCP21_00019480","Type II secretory pathway, pullulanase PulA and related glycosidases"
112,"HCP21_00019520","ATPase components of ABC transporters with duplicated ATPase domains"
113,"HCP21_00019540","hypothetical protein"
113,"HCP21_00019590","Branched-chain amino acid ABC-type transport system, permease components"
113,"HCP21_00019620","hypothetical protein"
113,"HCP21_00019660","Dynein heavy chain."
114,"HCP21_00019760","hypothetical protein"
115,"HCP21_00019800","hypothetical protein"
116,"HCP21_00019860","hypothetical protein"
117,"HCP21_00019870","hypothetical protein"
118,"HCP21_00019890","hypothetical protein"
119,"HCP21_00019900","Predicted membrane protein"
119,"HCP21_00019910","hypothetical protein"
120,"HCP21_00019920","hypothetical protein"
121,"HCP21_00019990","hypothetical protein"
121,"HCP21_00020010","hypothetical protein"
121,"HCP21_00020110","hypothetical protein"
121,"HCP21_00020120","hypothetical protein"
